mean_idx_val_loss,val_loss,epoch,step,train_loss,mean_idx_loss
1.7058476209640503,88.70407104492188,0,29,,
,,0,29,51.31123733520508,
1.5806193351745605,82.19219970703125,1,59,,
,,1,59,48.28020477294922,
1.273087501525879,66.20054626464844,2,89,,
,,2,89,41.04466247558594,
1.0415855646133423,54.16244888305664,3,119,,
,,3,119,33.00771713256836,
,,4,149,,0.8878914713859558
0.8121747374534607,42.23308563232422,4,149,,
,,4,149,26.636743545532227,
0.6921614408493042,35.992393493652344,5,179,,
,,5,179,23.418689727783203,
0.6492045521736145,33.758636474609375,6,209,,
,,6,209,20.631996154785156,
0.5943605303764343,30.906747817993164,7,239,,
,,7,239,19.7198543548584,
0.5430447459220886,28.238327026367188,8,269,,
,,8,269,17.797924041748047,
,,9,299,,0.5212931632995605
0.50078284740448,26.040706634521484,9,299,,
,,9,299,15.638794898986816,
0.44205281138420105,22.986745834350586,10,329,,
,,10,329,15.594382286071777,
0.43148306012153625,22.437118530273438,11,359,,
,,11,359,13.090801239013672,
0.3968786895275116,20.637691497802734,12,389,,
,,12,389,13.44437313079834,
0.3660944104194641,19.036909103393555,13,419,,
,,13,419,12.34439754486084,
,,14,449,,0.40981245040893555
0.3141714036464691,16.336912155151367,14,449,,
,,14,449,12.29437255859375,
0.3199406564235687,16.636913299560547,15,479,,
,,15,479,10.144371032714844,
0.3016713559627533,15.686910629272461,16,509,,
,,16,509,9.294371604919434,
0.2766714096069336,14.386913299560547,17,539,,
,,17,539,9.944372177124023,
0.26705604791641235,13.886913299560547,18,569,,
,,18,569,8.34437084197998,
,,19,599,,0.2948124408721924
0.25455597043037415,13.236909866333008,19,599,,
,,19,599,8.844372749328613,
0.25647905468940735,13.336910247802734,20,629,,
,,20,629,8.14437198638916,
0.24590210616588593,12.786909103393555,21,659,,
,,21,659,6.594372749328613,
0.2439790815114975,12.686911582946777,22,689,,
,,22,689,6.894372463226318,
0.23244065046310425,12.086913108825684,23,719,,
,,23,719,7.99437141418457,
,,24,749,,0.2514790892601013
0.23628674447536469,12.286910057067871,24,749,,
,,24,749,7.54437255859375,
0.22859443724155426,11.886910438537598,25,779,,
,,25,779,6.444372177124023,
0.20167137682437897,10.486910820007324,26,809,,
,,26,809,7.04437255859375,
0.20263294875621796,10.53691291809082,27,839,,
,,27,839,7.544371604919434,
0.20647910237312317,10.736912727355957,28,869,,
,,28,869,5.694372177124023,
,,29,899,,0.18481242656707764
0.19782525300979614,10.28691291809082,29,899,,
,,29,899,5.54437255859375,

